What are the 5 Axes in the Multiaxial Classification? ,"Axis I: Clinical Disorders, ""Chief complaint"";
Axis II: Personality Disorders,
Mental Retardation;
Axis III: General Medical Conditions;
Axis IV: Psychosocial and Environmental Problems;
Axis V: Global Assessment of Functioning ",
What is the most commonly known (preventable) cause of Mental retardation? ,Fetal Alcohol Syndrome ,
(2) MC genetic causes of Mental Retardation ,"Down's Syndrome

Fragile-X Syndrome ",
Define the (4) levels of mental retardation w/ IQ and brief summary ,"70-50 IQ: Mild - self-supporting (6th grade level)

49-35 IQ: Moderate - Trainable but needs supervision
(2nd grade level)

34-20 IQ: Severe - can learn to communicate; basic habits

< 20 IQ: Profound - needs highly structured environment ",
(2) possible causes of specific Learning Disorders ,"Focal Cerebral Injury

or

Neurodevelopmental Defect ",
MC Learning Disorder ,"Reading Disorder

(more common in boys) ",
(4) Pervasive Developmental Disorders ,"Autistic disorder;

Rett's disorder;

Childhood Disintegrative disorder;

Asperger's disorder ",
What are the (3) basic signs of Autism? ,"1. impairment in Social interaction
(failure to develop social smile, eye-to-eye gaze, etc)

2. impairment in Communication

3. Restrictive, Repetitive or stereotyped patterns of behavior, interests or activities
(preoccupation of an interest, inflexible adherence to rituals, whole body rocking, etc) ",
"A female w/ normal development the first 5 months after birth, then head circumference decreases, skills are lost such as language, social interactions and appropriate gait.
Dx? ",Rett's disorder ,
"what is the trade Name and class:

Fluoxetine ","Prozac

(SSRI) ",
"what is the trade Name and class:

Sertraline ","Zoloft

(SSRI) ",
"what is the trade Name and class:

Paroxetine ","Paxil

(SSRI) ",
"what is the trade Name and class:

Fluvoxamine ","Luvox

(SSRI) ",
"what is the trade Name and class:

Citalopram ","Celexa

(SSRI) ",
"what is the trade Name and class:

Escitalopram ","Lexapro

(SSRI) ",
"what is the trade Name and class:

Venlafaxine ","Effexor

(SNRI) ",
"what is the trade Name and class:

Duloxetine ","Cymbalta

(SNRI) ",
"What are the (2) Serotonin receptor agonists and antagonists?
Use? ","Trazodone

Nafazodone

Use: Anti-depressants ",
"What is the NE-DA reuptake inhibitor used for depression?
(generic and trade name) ",Bupropion (Wellbutrin) ,
What is the difference b/t Typical and Atypical Antipsychotics with relation to NT? ,"Typical = Dopamine Antagonists

Atypical = Dopamine and Serotonin Antagonists ",
"Aside from Schizophrenia, what are (5)* other uses for Haloperidol? ","PHAT T:

PCP overdose;
Huntington's Dz (and other movement disorders);
Acute Mania;
Tx-resistant Bipolar d/o;

Tourette's d/o ",PHAT T 
"What dopamine tracts are responsible for the patient's psychosis? (2)

Where in the brain does it arise from?

What is the only drug that treats just these two tracts without affecting the others? ","Mesocortical and Mesolimbic tracts

from Ventral Tegmental area of the brain

Clozapine
(only works on these tracts) ",
What is the only Atypical antipsychotic not also approved for Bipolar disorder? ,Clozapine ,
what is a possible side effect of blocking the tubuloinfundibular tract of Dopamine (using any type of dopamine blocker aside from Clozapine)? ,"Increased Prolactin levels

(Glactorrhea, amenorrhea and gynecomastia can occur; it is usually a side effect of Typical antipsychotics) ",
"A patient from Europe moved to the USA and needed to be placed on antidepressant medication. The physican gave him a SSRI without knowing of his previous medication. Within a few days the patient began to become restless, confused, hyperthermic and have severe muscle rigidity.
Dx? ","Serotonin Syndrome

(from mixing a SSRI and a MAOI) ",
"Aside from blocking Dopamine, what else is blocked with the use of Antipsychotics? (5) ","Muscarinic receptors (causing anticholinergic sx);

Alpha receptors (causing hypotension);

NE uptake;

Serotonin receptors;

Histamine receptors (sedation) ",
"What are the adverse Metabolic effects of Atypical antipsychotics?
(3) ","Weight Gain;

Adult-onset Diabetes;

Dyslipidemia ",
"What is the evolution of Extra-Pyramidal Symptom side effects of Antipsychotics in hours, days, weeks and months? ","4 hours: Acute Dystonia

4 days: Akinesia

4 weeks: Akathisia

4 months: Tardive Dyskinesia
(often irreversible) ",
"A man that just began taking medication for schizophrenia begins to get muscle spasms in his head and neck and rolling of his eyes upward.
Dx?
Tx? ","Acute Dystonia

Tx: Anticholinergic
(Benztropine) ",
"How do you treat neuroleptic-induced Parkinsonism?
(2) ","1. Oral Anticholinergics

2. Amantidine
(a DA releasing agent) ",
"A few weeks after starting neuroleptics a patient begins to get an inner restlessness in his legs and cant remain still.
Dx?
Tx? (2 possible) ","Dx: Akathisia

Tx:
1. Beta-blocker
2. Benzodiazepine ",
"A few days after starting neuroleptics a patient gets tachycardia, HTN, rigidity, agitation and a clouding of consciousness. His labs show an increased CK, Myoglobinuria, WBC and LFT.
Dx?
Tx? (3 possible) ","Dx: Neuroleptic Malignant Syndrome

Tx:
ir could be ""BAD"" if you dont give either Bromocriptine, Amantidine or Dantrolene ",
