cluster A types? (3),"Paranoid, schizoid, schizotypal"
cluster B types? (4),"Histrionic, Narcissistic, Borderline, Antisocial"
cluster C types? (3),"Avoidant, Dependent, Obsessive-compulsive"
cluster A characteristics?,individuals may appear odd and eccentric
cluster B characteristics?,"individuals often appear dramatic, emotional, or erratic in their emotions and behavior"
cluster C characteristics?,Individuals often appear anxious or fearful
"T/F: individuals with a personality disorder (PD) have difficulties in interpersonal functioning, self-concept, emotional regulation and behaviour that are highly context specific","False, whilst these difficulties frequently present in an interpersonal context, a personality disorder is an enduring pattern of inner experience and behaviour that is inflexible and pervasive across a broad range of personal and social situations"
"T/F: personality traits are transient patterns of perceiving, relating to and thinking about the environment and the self","False. DSM-IV-TR describes personality traits as enduring patterns of perceiving, relating to and thinking about the environment and the self"
"T/F: a PD leads to clinically significant distress or imapirment in social, occupational or other important areas of functioning",True.
T/F: onset of a PD can be traced back at least to adolescence or early adulthood,True. 
T/F: the diagnosis of a PD is best made at a time of a crisis,False. The diagnosis of a PD requires an evaluation of an individual's characteristic and long-term patterns of functioning.
T/F: gender tends not to influence the way in which distress is expressed and managed,"False. Gender influences the characteristic styles of both expressing and managing distress, but clinicians needs to be aware that social stereotypes about typical gender roles and behaviours can influence the diagnosis."
Is antisocial personality disorder is more common in men or women?,Men.
Are histrionic and dependent personality disorders more common in men or women?,Women.
"T/F: Individuals with odd/eccentric PDs have difficulties that may include distrust, detachment and social deficits",True.
Detachment from social relations and a restricted range of expression of emotions in interpersonal settings are the essential features of which personality disorder?,Schizoid
T/F: schizoid individuals appear highly sensitive to the approval or criticism of others,False. Schizoid individuals appear indifferent to the approval or criticism of others.
"T/F: schizoid individuals may appear oblivious to social cues and appear socially inept, aloof or 'bland'","True. They tend to choose solitary activities, have few friends and may have little interest in sexual experiences."
T/F: with schizotypal PD there are cognitive distortions and eccentricities of behaviour,True. Schizotypal PD refers to a pattern of reduced capacity for interpersonal relatedness with cognitive distortions and eccentricties of behaviour.
T/F: it is common for individuals with schizotypal PD to develop schizophrenia,False. A small proportion of those with schizotypal PD go on to develop schizophrenia.
Which personality disorder is characterised by pervasive distrust and suspiciousness and a tendency to interpret others as malevolent in somewhat?,Paranoid personality disorder.
The clinical picture of schizoid personality disorder is particularly seen in which pervasive developmental disorder?,Asperger's syndrome
T/F: Individuals with antisocial PD disregard the rights of others and have no understanding of the feelings of others,True. Antisocial PD has been previously known as psychopathy or sociopathy. 
"T/F: Antisocial PD is characterised by manipulative, deceitful and exploitative behaviour",True. Individuals with antisocial PD have seemingly failed to develop an understanding of the feelings of others and are described as unempathic. Some antisocial individuals are superficially charming and confident and can be successful in exploiting othe
T/F: Individuals with borderline PD have an overly developed sense of identity and self image,"False. In borderline PD, early childhood abuse or neglect is thought to be the cause of disrupted development of identity and self-image."
T/F: Individuals with borderline PD readily engage with their own intense negative emotional experiences,False. Individuals with borderline PD have difficulty tolerating negative-feeling states and can turn to substance use and risk-taking behaviours to avoid intense emotional experiences.
T/F: Individuals with histrionic PD usually have deep and intense emotional expression,False. Individuals with histrionic PD demonstrate generally shallow or superficial emotional expression and a lack of reflection.
T/F: Histrionic individuals are not easily influenced by others,False. Histrionic individuals are highly suggestible.
T/F: Individuals with narcissistic PD often have a sense of self-importance and overestimate their abilities and accomplishments,"True. They are grandiose, with a need for admiration."
"T/F: Individuals with narcissistic PD tend to have fragile self-esteem, and need constant reassurance in relationships",True. Relationships are often based around the individual's constant need for reassurance.
T/F: Individuals with avoidant PD are socially inhibited and hypersensitive to the negative evaluation of others,True. They tend to avoid social interaction relationships because of fear of ridicule or rejection.
"T/F: Avoidant PD can overlap with social phobia, with a major impact on social and occupational functioning","True. It may also overlap with other anxiety disorders such as panic disorder with agoraphobia, with a similarly major impact on social and occupational functioning/"
"T/F: Individuals with dependent PD resist being dominated by, or acceding to, the wishes of others",False. Individuals with dependent PD are at risk of being dominated and exploited by others and may acquisce to unreasonable demands rather than risk disagreement or potential abandonment.
T/F: Individuals with dependent PD tend not to form very close relationships easily,False. Individuals with dependent PD may form very close relationships in an indiscriminate fashion. They feel unable to function in an autonomous way.
T/F: Individuals with a severe PD can pose a risk to themselves and to others,"True. Individuals with severe PD can be clearly disabled in terms of social, occupational and interpersonal functioning and can face a risk to themselves or others. These individuals can be as severely disabled as those with chronic or enduring mental ill"
T/F: Disruption to a child's early attachment relationships and care affects the development of concepts of self and relationships with others,True. Insensitive and unempathic early parenting can impair the development of social cognition and understanding of interpersonal functioning.
"T/F: In severe cases of trauma and abuse, neurodevelopment related to emotional regulation and impulse control may be affected","True. These effects can be seen in individuals with some difficulties in regulating behaviours, impulses and emotions."
T/F: Hormonal and brain structural changes related to childhood trauma tend to be short-term,"False. Longitudinal research has found persistent dysregulation of the HPA axis and structural changes in the brains of adolescents who had experienced traum in their early years, suggesting that changes in neurological function resulting from trauma are "
T/F: Cortisol protects the brain from the effects of childhood psychological trauma,False. The neurotoxic effects of cortisol are implicated in potential damage to neurological function.
T/F: Dysregulation of the hypothalamic-pituitary-adrenal axis may occur as a result of childhood psychological trauma,True.
T/F: the quality of emotional interaction and care of a child tends not to affect the development of brain regulatory systems,"False. There is now considerable evidence from studies of maltreated children that environmental factors, including the quality of emotional  interaction and care, shape the development of brain regulatory systems."
T/F: Evidence suggests that cluster B traits have limited heritability.,False. Cluster B traits are often found in first-degree relatives of index patients. One twin study found an overall heritabiliyt of 0.60 for DSM-IV cluster B personality disorders.
Some individuals with PD may present with so-called dissociative symptoms. Name three dissociative symptoms.,"Feelings of numbness, loss of contact with the environment, or states of preoccupation resulting in a loss of sense of time."
T/F: Dissociative symptoms tend to be persistent and unrelated to a particular stressor,False. These features are usually stress-related and transient.
T/F: A diagnosis of depresson or post-traumatic stress disorder excludes a PD,"False. While at the time of presentation an individual with a PD may clearly diagnostic criteria for a concurrent Axis I disorder such as depression, this does not imply that their major issues are not related to underlying developmental disorder of perso"
"T/F: Poor early care, neglect and attachment disruption can result in a PD","True. Even in the absence of a history of frank abuse, a history of poor early care, neglect and attachment disruotion may be the core of an individual's difficulties."
"T/F: Mentalisation is the capacity to understand self and others in terms of feelings, wishes, beliefs, intention and motivation",True. It is an essential psychological ability that is needed for understanding human behaviour and interpersonal functioning.
T/F: Deficits in mentalisation result in difficulties with empathy,"True. Children who are abused or neglected appear to have deficits in the development of mentalisation, resulting in problems in the management of their own feelings, and understanding feelings in others (empathic function)."
T/F: Problems in mentalisation contribute to difficulties in understanding past trauma as abuse,"True. Problems in mentalisation contribute to difficulties in understanding past trauma as abuse, as the individual may not be able to understand why this abuse occurred. This makes it more likely that they remain preoccupied with past events and still ex"
"T/F: Most individuals with a PD will have extreme behavioural dysregulation, psychosis or urges to self-harm",False.
T/F: All individuals with PDs have difficulties with attachment and interpersonal functioning,True.
"T/F: For a clinician working with a patient with a PD, there can be feelings of therapeutic disempowerment and lack of efficiency",True. These sorts of emotional reactions to the patient are sometimes known as counter-transferrence.
T/F: A management plan negotiated with the patient with PD is unlikely to be of benefit in the clinical encounter,False.
T/F: The clinician may experience the patient with PD as either overly 'demanding' and/or non-compliant with recommendations,True.
T/F: Difficult patients can engender feelings of frustration and lack of confidence in the clinician,True.
T/F: The patient's level of self-awareness should be assessed early in the therapeutic process,True.
T/F: A PD patient who is in the 'unaware' stage tends to be immature and want immediate gratification,True. These stages of self-awareness were described by Cloninger.
T/F: A patient with 'average' awareness is aware of others and is able to mentalise,False. Awareness of others and ability to mentalise  typifies the 'meta-cognition' stage. Individuals in the 'average' stage can delay gratification but have frequent negative feelings.
T/F: A patient with meta-cognition is insightful and reflective,False. This describes the 'contemplation' stage.
What are the four Cloninger stages of self-awareness?,"Unaware, average, meta-cognition, contemplation"
T/F: Adults with PD tend to experience distress when attachment and desires are frustrated,True.
T/F: Individuals with PD tend to blame themselves for their difficulties,False.
T/F: Intervention aims to help the person understand better their own mental life and emotional responses,True.
T/F: Personality disorders are not treatable,False.
T/F: Patients with severe PDs such as borderline PD rarely improve with treatment ,"False. There is increasing evidence than even severe personality disorder improves over time, with >50% recovery rates in borderline personality disorder over a 10-year follow-up period in a recent study."
T/F: Counter-transferrence is when the patient has strong emotional responses to the clinician,False.
"T/F: Emotional responses to the patient need to be monitored, and case discussion and supervision of the clinician are important",True.
T/F: Forming a working alliance with the patient can help patients rework their typical ways of dealing with emotions and relationships,True.
T/F: Giving direct advice to patients with PD assists them to develop independence and therapeutic cooperation,"False. Giving direct advice can result in either dependency or chronic rejection of all suggestions. A better approach is to offer support and guidance, with several possible courses of action, and to support the patient in coming to their own insight."
T/F: Good collaboration and communication with other clinicians and services is essential,True.
"T/F: The management plan should document risk assessment, decisions, rationale for treatment and provisions for acute and emergency response",True.
T/F: Problems with transferrence and counter-transferrence are unlikely when multiple treatment services are involved,False. This is likely to magnify these issues.
"T/F: A specialist review is useful if there are complex comorbidities, treatment is not effective, or risk to the patient remains high",True.
T/F: Involving the patient's family in treatment is not recommended as it unnecessarily complicates treatment,False.
T/F:  Providing information about PD is particularly important when the patient may be looking for a 'physical' or medical explanation of their distress and is not open to psychological explanation,True. In these cases it may be useful to speak about the impact of stress and stress-related hormones and the way in which the brain is wired to respond to stressful situations and the way in which stress reactions can impact on interpersonal functioning.
T/F: Assessing suicide risk in a patient with PD is no different from that in other patients,False. Assessment of risk of self-harm ina patient with a personality disorder can be complex. It is not always easy to know how best to respond to expressed suicidal ideation or how to judge the intent of an individual presenting in crisis.
T/F: Acute suicidal ideation is a greater risk than chronic suicidal ideation,True.
T/F: Triggers for self-harming behaviour should be sought,True.
T/F: A history of suicidal and self-harming behaviours and feelings should be obtained,True.
"T/F: Chronic feelings of alienation, emptiness and worthlessness usually signal immediate suicidal intent in patients with PD",False. These are common in severe personality disorder and do not necessarily signal immediate suicidal intent.
T/F: Negotiating a crisis plan with the patient provides support and enhances the patient's sense of coping and responsibility,True.
"T/F: A crisis plan for the PD patient should identify potential triggers that could lead to a crisis, effective self-management strategies and how to access crisis services if needed",True.
T/F: Antipsychotic drugs are effective in the medium and long-term treatment of PD,False. Antipsychotics are limited to treatment of acute episodes of agitation and psychotic-like symptoms.
"T/F: Antipsychotic medication is recommended for the treatment of emotional instability, transient psychotic symptoms and aggression",True.
T/F: Anticonvulsants such as valproate or carbamazepine can be used to regulate aggressive outbursts in patients with severe PD,"True, although side effects and risk in overdose may limit the use of these agents and suggest they be restricted to second-line."
T/F: Short-term sedative medication may be used as a part of crisis management,True.
T/F: The use of SSRI antidepressants should be avoided in patients with PD,False. RCTs have provided some support for use of these drugs in the treatment of depression in personality disorders and have demonstrated some effect on impulsive aggression.
